topic,question,fmkorea,mlbpark,ppomppu
대장동 의혹,"대장동 의혹에 대한 윤석열 후보의 대응에 대해 어떻게 생각하시나요?
A. 적극적으로 해명하고 잘 대응하고 있다.
B. 회피하고 있으며 제대로 설명하지 않고 있다.
C. 대장동은 중요하지 않다. 다른 이슈에 집중해야 한다.
D. 특검을 통해 진실을 밝혀야 한다.",A,A,B
대장동 의혹,"대장동 의혹에 대한 이재명 후보의 해명에 대해 어떻게 생각하시나요?
A. 충분히 납득할 만한 해명이다.
B. 의혹이 여전히 남아있고, 추가적인 설명이 필요하다.
C. 거짓말과 말바꾸기로 진실을 은폐하려 한다.
D. 대장동은 가짜 뉴스다.",C,B,A
대장동 의혹,"대장동 의혹에 대한 특검 도입에 대해 어떤 입장이신가요?
A. 특검 도입에 적극 찬성한다.
B. 특검 도입은 불필요하다.
C. 특검 도입은 정치 공세일 뿐이다.
D. 특검 도입은 시기상조다.",A,D,C
대장동 의혹,"대장동 의혹이 대선에 미치는 영향은 어느 정도라고 생각하시나요?
A. 결정적인 영향을 미칠 것이다.
B. 어느 정도 영향을 미치겠지만, 다른 요인도 중요하다.
C. 큰 영향은 없을 것이다.
D. 이미 대장동에 대한 판단은 끝났다.",A,B,A
대장동 의혹,"대장동 의혹 관련 보도에 대해 어떤 매체를 가장 신뢰하시나요?
A. 조선일보, 중앙일보 등 보수 언론
B. 한겨레, 경향신문 등 진보 언론
C. 유튜브 채널, 온라인 커뮤니티
D. 객관적인 사실만 보도하는 언론은 없다.",A,D,B
대장동 의혹,"대장동 의혹에 대한 윤석열 후보의 입장은 무엇이라고 생각하시나요?
A. 적극적으로 해명하고 있다.
B. 회피하고 있다.
C. 특검을 통해 진실을 밝히자고 주장하고 있다.
D. 대장동은 이재명의 설계라고 반박하고 있다.",D,C,B
대장동 의혹,"김만배 녹취록에 대한 당신의 생각은 무엇인가요?
A. 신뢰할 수 있는 증거다.
B. 조작된 증거일 가능성이 높다.
C. 이미 해명된 내용이다.
D. 판단하기 어렵다.",A,D,B
대장동 의혹,"대장동 의혹의 핵심은 무엇이라고 생각하십니까?
A. 이재명의 비리
B. 윤석열의 개입
C. 개발 과정의 문제점
D. 언론의 과장 보도",A,A,A
대장동 의혹,"대장동 의혹 관련, 당신이 가장 궁금한 것은 무엇입니까?
A. 누가 몸통인가?
B. 실제로 얼마나 부당한 이득을 취했는가?
C. 왜 이런 일이 발생했는가?
D. 어떻게 해결해야 하는가?",A,A,D
대장동 의혹,"대장동 의혹 해결을 위해 가장 필요한 것은 무엇이라고 생각하십니까?
A. 특검 도입
B. 검찰 수사
C. 국정조사
D. 언론의 공정한 보도",B,B,A
대장동 의혹,"대장동 의혹 관련 토론에서 누구의 태도가 가장 마음에 들지 않았습니까?
A. 이재명
B. 윤석열
C. 안철수
D. 심상정",A,A,A
단일화(윤석열-안철수),"단일화에 대한 안철수의 태도는 어떻게 보십니까?
A. 역대급 기회를 잡았다.
B. 윤석열에게 이용당하고 있다.
C. 정치적 욕심 때문에 갈팡질팡한다.
D. 진정으로 정권교체를 원한다.",A,C,B
단일화(윤석열-안철수),"단일화 협상 과정에서 가장 큰 문제는 무엇이라고 생각하십니까?
A. 윤석열 측의 오만한 태도
B. 안철수 측의 과도한 요구
C. 서로에 대한 불신과 협상력 부족
D. 단일화 자체가 불필요하다.",B,C,A
단일화(윤석열-안철수),"단일화가 대선 결과에 어떤 영향을 미칠 것이라고 예상하십니까?
A. 윤석열에게 유리하게 작용할 것이다.
B. 윤석열에게 불리하게 작용할 것이다.
C. 큰 영향은 없을 것이다.
D. 예측하기 어렵다.",A,B,B
단일화(윤석열-안철수),"이준석의 역할에 대해 어떻게 생각하십니까?
A. 단일화에 긍정적인 역할을 했다.
B. 단일화에 부정적인 역할을 했다.
C. 단일화에 큰 영향을 미치지 않았다.
D. 이준석은 중요하지 않다.",B,B,C
정권 교체,"이준석의 역할에 대해 어떻게 생각하십니까?
A. 정권 교체에 큰 도움이 되었다.
B. 이대남 표를 결집하는 데 중요한 역할을 했다.
C. 이제 그의 역할은 끝났다.
D. 정권 교체에 방해가 된다.",A,D,C
단일화(윤석열-안철수),"윤석열의 광주 유세에 대해 어떻게 평가하십니까?
A. 성공적이었다.
B. 실패였다.
C. 큰 의미가 없다.
D. 아직 평가하기 이르다.",A,C,B
단일화(윤석열-안철수),"단일화 이후 선거 결과에 대한 당신의 예측은?
A. 윤석열 압승
B. 윤석열 승리
C. 이재명 승리
D. 초박빙 승부",A,B,D
단일화(윤석열-안철수),"단일화에 대한 당신의 생각은?
A. 윤석열에게 유리하다.
B. 안철수에게 유리하다.
C. 단일화는 필요 없다.
D. 단일화는 야권 승리에 필수적이다.",A,D,D
단일화(윤석열-안철수),"단일화 이후 윤석열의 지지율 변화에 대한 예상은?
A. 상승할 것이다.
B. 하락할 것이다.
C. 큰 변화 없을 것이다.
D. 예측하기 어렵다.",A,C,C
단일화(윤석열-안철수),"단일화 이후 가장 큰 변수는 무엇이라고 생각하십니까?
A. 김건희 리스크
B. 이재명의 네거티브 공세
C. 투표율
D. 부동층의 향방",B,A,C
단일화(윤석열-안철수),"단일화 이후 안철수 지지자들의 표심은 어디로 향할 것이라고 예상하시나요?
A. 대부분 윤석열 후보에게 갈 것이다.
B. 이재명 후보에게 갈 것이다.
C. 심상정 후보에게 갈 것이다.
D. 투표를 포기할 것이다.",A,A,A
"부동산, 세금 등 경제문제","건보료 인상, 어떻게 생각하세요?
A. ㅈ같네 ㅅㅂ
B. 그러려니 함
C. 잘한 정책임
D. 관심 없음",A,A,B
"부동산, 세금 등 경제문제","정부의 부동산 정책 중 가장 효과적이라고 생각하는 것은 무엇입니까?
A. 다주택자 중과세
B. 공공주택 공급 확대
C. 대출 규제 완화
D. 부동산 세제 개편",A,A,B
"부동산, 세금 등 경제문제","정부의 경제 정책에 대한 당신의 생각은?
A. 매우 만족
B. 만족
C. 불만족
D. 매우 불만족",D,C,C
"부동산, 세금 등 경제문제","다음 중 세금 관련 정책에 대한 당신의 의견은?
A. 증세 필요
B. 감세 필요
C. 현행 유지
D. 잘 모르겠음",B,B,A
"부동산, 세금 등 경제문제","주식 양도세 개선에 대한 당신의 생각은 무엇입니까?
A. 원천징수 폐지 등 주식 양도세 개선이 시급하다.
B. 양도세는 건드리지 말고 다른 정책으로 증시 부양해야 한다.
C. 주식 시장 활성화보다는 부동산 정책이 우선이다.
D. 경제 문제는 세금보다 규제 완화가 더 중요하다.",A,A,B
"부동산, 세금 등 경제문제","다음 중 어떤 후보의 경제 정책에 가장 공감하십니까?
A. 이재명 후보의 기본소득 및 부동산 정책
B. 윤석열 후보의 규제 완화 및 자유 시장 경제 정책
C. 안철수 후보의 과학 기술 중심 경제 정책
D. 심상정 후보의 노동자 중심 경제 정책",B,B,A
"부동산, 세금 등 경제문제","김혜경씨의 '법인카드 유용 의혹' 사건에 대한 당신의 생각은 무엇입니까?
A. 심각한 문제이며 철저한 수사가 필요하다.
B. 과장된 측면이 있으며 정치 공세의 일환이다.
C. 후보의 배우자 문제이므로 대선 결과에 영향을 미치지 않을 것이다.
D. 다른 중요한 경제 문제에 집중해야 한다.",A,A,B
"부동산, 세금 등 경제문제","다주택자에 대한 세금 부담 완화에 대해 어떻게 생각하시나요?
A. 다주택자 세금 완화는 부동산 시장 안정에 도움이 된다.
B. 다주택자 세금 완화는 투기를 조장한다.
C. 다주택자 세금은 현행 유지가 적절하다.
D. 다주택자는 더 많은 세금을 부담해야 한다.",A,A,D
"부동산, 세금 등 경제문제","이재명 후보의 경제 정책 중 가장 마음에 드는 것은 무엇인가요?
A. 기본소득
B. 지역화폐 확대
C. 부동산 공공개발
D. 없다.",D,D,C
"부동산, 세금 등 경제문제","윤석열 후보의 경제 정책 중 가장 마음에 드는 것은 무엇인가요?
A. 규제 완화
B. 법인세 인하
C. 부동산 공급 확대
D. 없다.",C,C,A
"부동산, 세금 등 경제문제","여가부 폐지에 대한 당신의 의견은?
A. 젠더 갈등 해소를 위해 꼭 필요하다.
B. 폐지하면 안 된다.
C. 잘 모르겠다.
D. 관심 없다.",A,D,B
후보(또는 가족)의 비리,"윤석열 후보의 가장 큰 약점은 무엇이라고 생각하십니까?
A. 페미니스트 지지
B. 김건희 관련 논란
C. 고집스러운 성격
D. 정치 경험 부족",B,B,B
정권 교체,"윤석열 후보의 가장 큰 약점은 무엇이라고 생각하십니까?
A. 정치 경험 부족
B. 토론 능력 부족
C. 주변 인물 문제
D. 여성 정책",B,C,D
후보(또는 가족)의 비리,"이재명 후보의 아들 논란에 대해 어떻게 생각하십니까?
A. 과장된 이야기다.
B. 심각한 문제다.
C. 개인적인 문제일 뿐이다.
D. 다른 후보의 비리만큼 중요하지 않다.",B,B,B
후보(또는 가족)의 비리,"후보 교체에 대한 당신의 생각은 무엇입니까?
A. 절대적으로 필요하다.
B. 필요하지 않다.
C. 상황에 따라 다르다.
D. 다른 해결책이 있다.",A,C,B
후보(또는 가족)의 비리,"이준석 대표의 역할에 대해 어떻게 평가하십니까?
A. 긍정적이다.
B. 부정적이다.
C. 중립적이다.
D. 잘 모르겠다.",A,B,A
후보(또는 가족)의 비리,"신지예 영입에 대한 당신의 의견은 무엇입니까?
A. 잘한 결정이다.
B. 잘못된 결정이다.
C. 큰 영향을 주지 않을 것이다.
D. 판단하기 어렵다.",B,B,B
후보(또는 가족)의 비리,"후보의 사과문에 대한 당신의 생각은?
A. 진정성 있다.
B. 형편없다.
C. 실무자가 쓴 것 같다.
D. 잘 모르겠다.",B,B,D
후보(또는 가족)의 비리,"대장동 사건에 대한 이재명 후보의 대응은 어떻게 생각하시나요?
A. 억울하지만 넘어가는 것이 옳다.
B.  적극적으로 해명해야 한다.
C.  침묵하는 것이 최선이다.
D.  잘 모르겠다.",A,A,B
후보(또는 가족)의 비리,"김건희 여사의 등판에 대한 당신의 의견은?
A. 긍정적이다.
B. 부정적이다.
C. 관심 없다.
D. 잘 모르겠다.",A,A,B
후보(또는 가족)의 비리,"사전투표 결과에 대한 당신의 예상은?
A. 윤석열 후보가 우세할 것이다.
B. 이재명 후보가 우세할 것이다.
C. 박빙일 것이다.
D. 예측하기 어렵다.",A,A,C
후보(또는 가족)의 비리,"후보의 배우자 비리 의혹에 대한 당신의 생각은?
A.  별 문제 아니다. 후보 본인의 능력이 중요하다.
B.  심각한 문제다. 도덕성에 큰 결함이 있다.
C.  의혹일 뿐이다. 확실한 증거가 없다.
D.  상대 후보 측의 정치 공작이다.",C,B,B
후보(또는 가족)의 비리,"후보의 가족 비리 의혹이 선거에 미치는 영향은?
A.  별 영향 없다. 유권자들은 정책에 집중한다.
B.  결정적인 영향을 미친다. 지지율 하락은 불가피하다.
C.  중도층의 표심을 좌우할 것이다.
D.  오히려 동정표를 얻을 수도 있다.",A,B,B
후보(또는 가족)의 비리,"후보 비리 의혹에 대한 언론 보도의 공정성은?
A.  공정하다. 사실에 기반한 보도다.
B.  편향적이다. 특정 후보에게 불리하게 보도한다.
C.  과장되어 있다. 사실보다 부풀려진 측면이 있다.
D.  언론의 역할에 충실하고 있다.",B,B,B
후보(또는 가족)의 비리,"가세연의 김건희 녹취록 공개에 대한 생각은?
A.  유권자의 알 권리를 위한 중요한 정보 공개다.
B.  선거에 영향을 미치려는 불순한 의도의 정치 공세다.
C.  사생활 침해이며, 언론의 자정 작용이 필요하다.
D.  내용의 진위 여부를 먼저 판단해야 한다.",A,B,D
후보(또는 가족)의 비리,"선거 후 '후보(또는 가족)의 비리' 문제 해결을 위해 가장 중요한 것은 무엇이라고 생각하는가?
A.  철저한 수사와 처벌
B.  제도적 개선 및 예방책 마련
C.  국민들의 감시와 비판
D.  정치권의 자정 노력",A,A,B
후보(또는 가족)의 비리,"김혜경씨의 '과잉 의전' 논란에 대해 어떻게 생각하시나요?
A. 심각한 문제이며 사퇴해야 한다.
B.  사소한 문제이며 과장되었다.
C.  후보 자질과 무관하다.
D.  윤석열 배우자 김건희씨 의혹에 집중해야 한다.",D,A,B
후보(또는 가족)의 비리,"이번 대선에서 후보의 도덕성이 투표 결정에 얼마나 중요하다고 생각하십니까?
A. 매우 중요하다.
B.  중요하지만 정책이 더 중요하다.
C.  별로 중요하지 않다.
D.  전혀 중요하지 않다.",A,A,B
정권 교체,"윤석열 후보의 어떤 점이 정권 교체에 가장 도움이 된다고 생각하십니까?
A. 여가부 폐지 공약
B. 부정부패 수사 경험
C. 안철수와의 단일화
D. 강력한 리더십",A,C,C
정권 교체,"이재명 후보의 어떤 점이 정권 교체를 어렵게 만든다고 생각하십니까?
A. 대장동 의혹
B. 친중 성향
C. 낮은 도덕성
D. 모든 것",D,A,A
정권 교체,"사전 투표에 대해 어떻게 생각하십니까?
A. 적극 참여했다.
B. 부정선거 의혹이 있다.
C. 편리한 제도다.
D. 관심 없다.",A,A,A
정권 교체,"안철수 후보의 단일화에 대해 어떻게 생각하십니까?
A. 정권교체에 큰 도움이 된다.
B. 정치적 쇼다.
C. 안철수의 정치적 야망이다.
D. 별로 관심 없다.",A,A,A
정권 교체,"윤석열 후보 교체에 대한 당신의 생각은?
A. 절대 반대, 정권 교체가 우선이다.
B. 지지율이 낮으면 교체해야 한다.
C. 홍준표로 교체해야 한다.
D. 안철수와 단일화해야 한다.",A,B,A
정권 교체,"이번 대선의 가장 중요한 이슈는 무엇이라고 생각하십니까?
A. 부동산 정책
B. 페미니즘
C. 대장동 사건
D. 정권 교체",D,D,D
정권 교체,"현재 지지하는 후보에 실망한 적이 있습니까? 그 이유는 무엇입니까?
A. 없다. 정권 교체를 위해 무조건 지지한다.
B. 있다. 페미니즘 정책에 실망했다.
C. 있다. 도덕성에 문제가 있다.
D. 있다. 정책이 부족하다.",A,C,C
정권 교체,"사전 투표에 참여하셨습니까?
A. 사전 투표 완료했다.
B. 본 투표일에 투표할 것이다.
C. 투표하지 않을 것이다.
D. 아직 결정하지 못했다.",A,B,A
정권 교체,"투표율이 정권 교체에 얼마나 영향을 미칠 것이라고 예상하십니까?
A. 큰 영향을 미칠 것이다.
B. 어느 정도 영향을 미칠 것이다.
C. 별 영향 없을 것이다.
D. 알 수 없다.",A,B,A
정권 교체,"이번 대선에서 가장 중요한 이슈는 무엇이라고 생각하십니까?
A. 페미니즘
B. 부동산 정책
C. 정권 교체
D. 경제 성장",C,C,C
정권 교체,"현 정권에 대한 당신의 평가는?
A. 매우 잘하고 있다.
B. 잘하고 있는 부분도 있고 못하는 부분도 있다.
C. 매우 못하고 있다.
D. 관심 없다.",C,C,C
정권 교체,"현재 대선 판세를 어떻게 예측하십니까?
A. 윤석열 후보의 승리가 확실하다.
B. 이재명 후보의 승리가 확실하다.
C. 초접전 양상이다.
D. 예측하기 어렵다.",A,C,C
정권 교체,"윤석열 후보에 대한 당신의 생각은?
A. 무조건 지지한다. 정권교체가 최우선이다.
B. 지지하지만 불안한 점도 있다.
C. 지지하지 않는다. 다른 후보를 지지한다.
D. 관심 없다.",B,B,A
정권 교체,"정권교체가 된다면 가장 바라는 것은?
A. 부동산 정책 변화
B. 경제 활성화
C. 적폐 청산
D. 외교 안보 강화",C,C,B
통합 정치,"안철수 단일화에 대해 어떻게 생각하시나요?
A. 단일화는 신의 한 수였다.
B. 단일화는 마이너스였다.
C. 단일화 효과는 미미하다.
D. 단일화는 필요 없었다.",A,A,B
통합 정치,"이준석의 역할에 대해 어떻게 평가하시나요?
A. 선거에 큰 도움이 되었다.
B. 선거에 방해가 되었다.
C. 별 영향이 없었다.
D. 오히려 독이 되었다.",A,A,B
통합 정치,"현재 지지하는 후보에게 가장 큰 약점은 무엇이라고 생각하나요?
A. 도덕성 부족
B. 정책 부족
C. 소통 부족
D. 리더십 부족",B,A,A
통합 정치,"투표 참여에 대한 당신의 생각은?
A. 반드시 투표해야 한다.
B. 투표는 개인의 선택이다.
C. 투표해도 바뀌는 것은 없다.
D. 투표할 필요성을 못 느낀다.",A,A,A
통합 정치,"확진자 투표에 대해 어떻게 생각하시나요?
A. 선거 조작 가능성이 높다.
B. 투표율에 큰 영향을 미칠 것이다.
C. 확진자도 투표권을 행사해야 한다.
D. 시간 제한을 풀어야 한다.",B,B,A
통합 정치,"윤석열의 토론 능력은 어떤가요?
A. 잘한다.
B. 못한다.
C. 준비가 부족하다.
D. 보고 읽는 정도가 심하다.",A,B,D
통합 정치,"호남 지역의 투표 결과에 대해 어떻게 예상하시나요?
A. 이재명 압승.
B. 윤석열에게 기회가 있다.
C. 예측 불가능.
D. 이재명 지지율이 낮을 것.",A,A,A
통합 정치,"이준석의 선거운동 기간 중 역할은 어떻게 평가하는가?
A. 적극적이고 효과적이었다.
B. 미흡하고 아쉬웠다.
C. 오히려 악영향을 미쳤다.
D. 잘 모르겠다.",A,C,B
통합 정치,"김건희 관련 논란에 대한 생각은?
A. 큰 문제라고 생각한다.
B. 별 문제 아니라고 생각한다.
C. 민주당의 공격이 과하다.
D. 잘 모르겠다.",C,A,A
통합 정치,"2030 세대의 정치 참여에 대한 당신의 생각은?
A. 2030의 지지는 중요하지만, 결국 선거는 어르신들이 결정한다.
B. 2030은 취업, 여가부 폐지 등에만 관심 있는 한줌단이다.
C. 2030의 정치 참여는 긍정적이며, 국힘을 지지하는 2030이 많아지길 바란다.
D. 2030은 중요한 유권자층이며, 그들의 의견을 존중해야 한다.",B,C,D
통합 정치,"이번 대선 결과에 가장 큰 영향을 미친 요인은 무엇이라고 생각하십니까?
A. 단일화 실패
B. 사전투표 논란
C. 후보자의 자질 및 공약
D. 언론의 보도",C,A,B
통합 정치,"이번 대선 토론에 대한 당신의 평가는?
A. 이재명은 말만 잘하고 실속이 없다. 윤석열은 시원시원하게 잘했다.
B. 토론은 의미 없고, 난장판이었다. 안철수만 정책을 이해하는 것 같았다.
C. 이재명은 토론에서 레전드 망언을 연발했다.
D. 이재명은 잘했지만, 윤석열의 실수가 더 주목받았다.",C,A,B
통합 정치,"현재 한국 정치에서 가장 시급한 과제는 무엇이라고 생각하시나요?
A. 정치 개혁 및 부패 방지
B. 경제 성장 및 일자리 창출
C. 통합과 화합
D. 공정과 상식",D,A,C
여성가족부 폐지,"여성가족부 폐지에 대한 윤석열 후보의 입장 변화에 대해 어떻게 생각하시나요?
A. 이준석 효과로 정신 차린 것 같다.
B. 선거 전략일 뿐, 진심이 아니다.
C. 원래부터 폐지에 찬성했지만, 시기가 안 좋았다.
D. 관심 없다.",A,B,B
여성가족부 폐지,"여성가족부 폐지가 20대 남성 표심에 어떤 영향을 미칠 것이라고 생각하시나요?
A. 결정적인 영향을 미칠 것이다.
B. 별 영향 없을 것이다.
C. 오히려 반감을 살 수도 있다.
D. 20대 남성은 여가부 폐지에 관심 없다.",A,A,B
여성가족부 폐지,"여성가족부 폐지 후 어떤 대안이 필요하다고 생각하시나요?
A. 결혼, 출산 관련 부서 신설
B. 다른 부처로 업무 이관
C. 여성 인권 보호를 위한 새로운 기구 설립
D. 대안은 필요 없다.",A,B,C
여성가족부 폐지,"여성가족부 폐지에 대한 본인의 입장은 무엇인가요?
A. 적극 찬성한다.
B. 찬성하지만, 대안이 필요하다.
C. 반대한다.
D. 관심 없다.",A,A,C
여성가족부 폐지,"여성가족부 폐지에 대한 윤석열 후보의 입장은?
A. 폐지 후 양성평등가족부 신설  
B. 조건부 폐지
C. 완전 폐지
D. 입장 유보",C,C,A
여성가족부 폐지,"여성가족부 폐지에 대한 이재명 후보의 입장은?
A. 강력히 찬성하며, 폐지를 공약으로 내세웠다.
B. 조건부 찬성하며, 대안을 마련해야 한다고 주장한다.
C. 반대하며, 여성 인권 보호를 위해 필요하다고 주장한다.
D. 애매한 입장을 취하며, 상황에 따라 바뀔 수 있다.",D,C,C
여성가족부 폐지,"여성가족부 폐지에 대한 안철수 후보의 입장은?
A. 폐지에 찬성한다.
B. 폐지에 반대한다.
C. 여성가족부의 기능 개편을 주장한다.
D. 명확한 입장을 밝히지 않았다.",A,C,C
여성가족부 폐지,"이준석의 여성가족부 폐지 관련 행보에 대해 어떻게 평가하시나요?
A. 옳은 방향으로 이끌었다.
B. 정치적으로 이용했다.
C. 과한 발언이 문제였다.
D. 관심 없다.",A,A,A
여성가족부 폐지,"여성가족부 폐지에 대한 여초 커뮤니티의 반응은 어떤 것 같나요?
A. 대부분 반대한다.
B. 대부분 찬성한다.
C. 무관심하거나 둘 다 싫어한다.
D. 잘 모르겠다.",C,A,A
여성가족부 폐지,"안철수 후보의 단일화 결렬이 여성가족부 폐지 공약에 어떤 영향을 미칠 것이라고 생각하시나요?
A. 긍정적인 영향을 미칠 것이다.
B. 부정적인 영향을 미칠 것이다.
C. 큰 영향 없을 것이다.
D. 예측하기 어렵다.",C,C,B